ticker,date,above_ma20,above_ma200,above_ma50,atr,bb_lower,bb_middle,bb_upper,high_52w,low_52w,ma_10,ma_20,ma_200,ma_5,ma_50,ma_alignment,macd,macd_histogram,macd_signal,pct_from_high,pct_from_low,price,return_1d,return_20d,return_5d,rsi,vol_20_avg,vol_ratio,volatility,volume,label,future_return_5d
QQQ,2025-08-08,1,1,1,6.63,553.66,563.58,573.51,574.55,416.06,565.78,563.58,512.69,567.1,548.09,1,-8.1027,-6.4822,-1.6205,0.0,38.09,574.55,0.93,3.67,3.73,59.63,44561520,0.79,4.96,35255500,0,1.01
QQQ,2025-08-11,1,1,1,6.59,554.31,564.42,574.52,574.55,416.06,566.25,564.42,513.08,568.85,549.15,1,-7.1864,-5.7491,-1.4373,-0.3,37.68,572.85,-0.3,2.99,1.55,61.01,44394500,0.75,5.05,33112900,0,0.78
QQQ,2025-08-12,1,1,1,6.85,554.02,565.58,577.15,580.05,416.06,567.53,565.58,513.5,572.8,550.37,1,-6.3967,-5.1173,-1.2793,0.0,39.41,580.05,1.26,4.19,3.53,64.16,44337780,0.95,5.78,42143300,0,-0.51
QQQ,2025-08-13,1,1,1,6.95,554.16,566.74,579.31,580.34,416.06,568.76,566.74,513.96,575.41,551.51,1,-6.0698,-4.8558,-1.214,0.0,39.48,580.34,0.05,4.14,2.3,63.58,43782510,0.94,6.29,41209300,0,-1.91
QQQ,2025-08-14,1,1,1,6.99,554.05,567.64,581.23,580.34,416.06,570.25,567.64,514.4,577.54,552.56,1,-5.7237,-4.579,-1.1447,-0.08,39.38,579.89,-0.08,3.22,1.87,62.18,44032570,1.03,6.79,45425000,0,-1.83
QQQ,2025-08-15,1,1,1,7.11,554.56,568.44,582.33,580.34,416.06,572.6,568.44,514.81,578.09,553.54,1,-5.596,-4.4768,-1.1192,-0.52,38.76,577.34,-0.44,2.86,0.49,58.17,43982345,1.13,6.94,49480200,0,-1.98
QQQ,2025-08-18,1,1,1,6.89,554.86,569.09,583.32,580.34,416.06,573.9,569.09,515.22,578.95,554.58,1,-5.4827,-4.3861,-1.0965,-0.56,38.71,577.11,-0.04,2.29,0.74,58.85,43494135,0.69,7.11,29831000,0,-0.89
QQQ,2025-08-19,0,1,1,7.12,555.73,569.49,583.26,580.34,416.06,574.8,569.49,515.56,576.79,555.37,1,-5.5229,-4.4183,-1.1046,-1.91,36.83,569.28,-1.36,1.43,-1.86,51.0,44018235,1.22,6.88,53752600,0,0.18
QQQ,2025-08-20,0,1,1,7.1,555.97,569.6,583.22,580.34,416.06,574.65,569.6,515.91,573.9,556.07,1,-4.964,-3.9712,-0.9928,-2.49,36.01,565.9,-0.59,0.37,-2.49,50.71,45846525,1.67,6.81,76781100,0,1.19
QQQ,2025-08-21,0,1,1,6.54,555.75,569.51,583.27,580.34,416.06,574.06,569.51,516.31,570.58,556.66,1,-4.5703,-3.6562,-0.9141,-2.94,35.38,563.28,-0.46,-0.31,-2.86,58.61,46054595,1.01,6.88,46436900,0,1.66
QQQ,2025-08-22,1,1,1,6.56,556.07,569.79,583.51,580.34,416.06,573.8,569.79,516.73,569.51,557.45,1,-4.8271,-3.8617,-0.9654,-1.44,37.47,571.97,1.54,0.99,-0.93,57.42,47098160,1.09,6.86,51502100,0,0.27
QQQ,2025-08-25,1,1,1,6.37,556.2,569.9,583.6,580.34,416.06,573.55,569.9,517.15,568.15,558.18,1,-4.608,-3.6864,-0.9216,-1.73,37.08,570.32,-0.29,0.38,-1.18,59.88,47225460,0.72,6.85,34044700,0,0.01
QQQ,2025-08-26,1,1,1,6.13,556.47,570.17,583.86,580.34,416.06,572.8,570.17,517.55,568.82,559.09,1,-4.3875,-3.51,-0.8775,-1.33,37.63,572.61,0.4,0.94,0.58,55.74,46657445,0.73,6.85,34103000,0,-1.22
QQQ,2025-08-27,1,1,1,5.83,556.71,570.44,584.17,580.34,416.06,572.12,570.44,517.89,570.33,559.88,1,-4.3885,-3.5108,-0.8777,-1.18,37.84,573.49,0.15,0.96,1.34,54.71,46332110,0.8,6.87,36927100,0,-0.6
QQQ,2025-08-28,1,1,1,5.83,557.26,571.04,584.83,580.34,416.06,571.84,571.04,518.21,573.09,560.84,1,-4.3404,-3.4723,-0.8681,-0.56,38.7,577.08,0.63,2.14,2.45,52.92,45440825,1.03,6.89,46787900,0,-1.21
QQQ,2025-08-29,0,1,1,6.07,560.54,571.87,583.2,580.34,416.06,571.14,571.87,518.49,572.78,561.66,1,-3.9716,-3.1773,-0.7943,-1.71,37.1,570.4,-1.16,2.98,-0.27,47.47,44772305,1.25,5.67,56030400,0,-0.06
QQQ,2025-09-02,0,1,1,6.28,560.8,571.95,583.09,580.34,416.06,570.0,571.95,518.75,571.84,562.44,1,-3.6005,-2.8804,-0.7201,-2.54,35.95,565.62,-0.84,0.27,-0.82,34.28,45682655,1.44,5.57,65876800,0,2.34
QQQ,2025-09-03,0,1,1,6.4,562.61,572.44,582.26,580.34,416.06,570.07,572.44,519.04,571.33,563.21,1,-3.2739,-2.6191,-0.6548,-1.77,37.02,570.07,0.79,1.75,-0.44,39.74,45960835,1.18,4.91,54230200,0,1.83
QQQ,2025-09-04,1,1,1,6.59,563.22,572.83,582.44,580.34,416.06,571.01,572.83,519.35,571.68,563.92,1,-2.9434,-2.3547,-0.5887,-0.88,38.26,575.23,0.91,1.39,0.3,45.75,46245965,1.03,4.8,47526300,0,0.92
QQQ,2025-09-05,1,1,1,6.97,563.61,573.17,582.73,580.34,416.06,572.29,573.17,519.69,571.48,564.62,1,-2.9677,-2.3742,-0.5935,-0.74,38.46,576.06,0.14,1.2,-0.18,48.79,47439940,1.44,4.78,68342500,0,0.81
QQQ,2025-09-08,1,1,1,7.13,563.52,573.39,583.25,580.34,416.06,572.98,573.39,520.1,573.17,565.27,1,-2.8753,-2.3002,-0.5751,-0.25,39.13,578.87,0.49,0.75,1.48,51.58,47995735,0.97,4.93,46371400,0,1.35
QQQ,2025-09-09,1,1,1,6.77,563.44,573.77,584.1,580.51,416.06,573.99,573.77,520.5,576.15,565.92,1,-2.7921,-2.2337,-0.5584,0.0,39.53,580.51,0.28,1.34,2.63,61.35,48540470,0.91,5.17,44007600,0,1.92
QQQ,2025-09-10,1,1,1,6.4,563.39,573.8,584.22,580.7,416.06,574.8,573.8,520.89,578.27,566.5,1,-2.5442,-2.0353,-0.5088,0.0,39.57,580.7,0.03,0.11,1.86,66.0,48898705,1.01,5.21,49308000,0,1.8
QQQ,2025-09-11,1,1,1,6.31,562.99,573.99,584.99,584.08,416.06,575.86,573.99,521.29,580.04,567.24,1,-2.415,-1.932,-0.483,0.0,40.38,584.08,0.58,0.64,1.54,72.12,49075530,0.91,5.5,44745800,0,1.22
QQQ,2025-09-12,1,1,1,5.81,562.26,574.33,586.4,586.66,416.06,576.82,574.33,521.7,582.16,567.96,1,-2.5025,-2.002,-0.5005,0.0,41.0,586.66,0.44,1.17,1.84,67.95,49341575,1.03,6.03,50745900,0,0.57
QQQ,2025-09-15,1,1,1,5.88,560.83,575.05,589.26,591.68,416.06,578.95,575.05,522.13,584.73,568.67,1,-2.7988,-2.2391,-0.5598,0.0,42.21,591.68,0.86,2.48,2.21,74.12,49085580,0.9,7.11,44360300,0,1.3
QQQ,2025-09-16,1,1,1,5.76,559.9,575.75,591.6,591.68,416.06,581.5,575.75,522.56,586.86,569.45,1,-3.3452,-2.6761,-0.669,-0.08,42.09,591.18,-0.08,2.44,1.84,71.85,49441135,0.75,7.92,36942100,0,1.86
QQQ,2025-09-17,1,1,1,5.99,560.08,576.79,593.49,591.68,416.06,583.5,576.79,522.96,588.72,570.2,1,-3.7927,-3.0342,-0.7585,-0.28,41.81,590.0,-0.2,3.64,1.6,69.29,50222745,1.38,8.35,69384800,0,1.39
QQQ,2025-09-18,1,1,1,6.18,560.49,578.26,596.02,595.32,416.06,585.51,578.26,523.41,590.97,570.98,1,-4.5834,-3.6667,-0.9167,0.0,43.09,595.32,0.9,5.2,1.92,70.49,49437155,1.24,8.88,61069300,0,0.48
QQQ,2025-09-19,1,1,1,5.91,561.44,580.06,598.68,599.35,416.06,587.84,580.06,523.86,593.51,571.86,1,-5.1959,-4.1567,-1.0392,0.0,44.05,599.35,0.68,6.4,2.16,84.57,50025115,1.16,9.31,58196100,0,-0.54
QQQ,2025-09-22,1,1,1,5.5,561.02,581.57,602.12,602.2,416.06,590.17,581.57,524.29,595.61,572.82,1,-4.6915,-3.7532,-0.9383,0.0,44.74,602.2,0.48,5.29,1.78,95.79,50307750,1.14,10.28,57154800,0,-1.03
QQQ,2025-09-23,1,1,1,5.47,561.88,582.97,604.05,602.2,416.06,591.94,582.97,524.7,597.01,573.66,1,-4.7802,-3.8242,-0.956,-0.66,43.78,598.2,-0.66,4.89,1.19,85.62,51837290,1.25,10.54,64635500,0,0.09
